PT1,PT2,PT3,PT4,PT5,PT6,Time (ms),L1,L2,L3,L4,L5,L6
0.24424999952316284,0.23675000667572021,0.23662500083446503,0.2630000114440918,0.2642500102519989,0.25837498903274536,1802,292.419857,292.2791825,292.2719844,292.2364388,292.3641852,292.2588511
0.25212499499320984,0.24400000274181366,0.242249995,0.27425000071525574,0.27549999952316284,0.2771250009536743,1869,292.8599557,292.6899258,292.591139,292.8752236,293.0024944,293.3105632
0.2750000059604645,0.2672500014305115,0.26112499833106995,0.29475000500679016,0.2994999885559082,0.29899999499320984,1935,294.1383392,294.0071376,293.6620811,294.0392328,294.3642212,294.5375595
0.30012500286102295,0.2904999852180481,0.2809999883174896,0.312375009,0.32237499952316284,0.3238750100135803,1995,295.5424644,295.3243486,294.7897611,295.0399968,295.6621184,295.9328309
0.3257499933242798,0.31474998593330383,0.30125001072883606,0.33024999499320984,0.3421249985694885,0.34587499499320984,2056,296.9745321,296.6982148,295.9387199,296.054955,296.7827065,297.1668381
0.3512499928474426,0.33787500858306885,0.3230000138282776,0.34825000166893005,0.36399999260902405,0.36812499165534973,2113,298.3996146,298.0083462,297.1727856,297.077012,298.0238641,298.4148689
0.37687501311302185,0.3622500002384186,0.34424999356269836,0.36800000071525574,0.38587498664855957,0.3876250088214874,2174,299.8316839,299.3892937,298.3784806,298.1984352,299.2650216,299.5086497
0.4022499918937683,0.38487499952316284,0.3661249876022339,0.3880000114440918,0.4086250066757202,0.40950000286102295,2231,301.2497795,300.6710966,299.6196382,299.3340543,300.5558269,300.7356461
0.4281249940395355,0.4086250066757202,0.3866249918937683,0.40837499499320984,0.43287500739097595,0.43412500619888306,2291,302.6958192,302.0166361,300.7827806,300.4909647,301.9317391,302.116894
0.4555000066757202,0.4339999854564667,0.40700000524520874,0.4300000071525574,0.4581249952316284,0.4625000059604645,2353,304.2256879,303.4542371,301.9388313,301.7188529,303.3643892,303.708484
0.4828749895095825,0.46050000190734863,0.43137499690055847,0.4528749883174896,0.48362499475479126,0.48362499475479126,2417,305.755555,304.9555763,303.3218353,303.0177154,304.8112246,304.8934116
0.5091249942779541,0.4871250092983246,0.45225000381469727,0.46937501430511475,0.5059999823570251,0.5062500238418579,2477,307.2225519,306.4639968,304.5062549,303.9546022,306.080751,306.1624783
