PT1,PT2,PT3,PT4,PT5,PT6,Time (ms),L1,L2,L3,L4,L5,L6
0.24525000154972076,0.2368749976158142,0.2368749976158142,0.26350000500679016,0.26249998807907104,0.25725001096725464,1916,292.4757427,292.2862638,292.2861689,292.2648289,292.2648914,292.1957496
0.25312501192092896,0.24512499570846558,0.2433750033378601,0.27512499690055847,0.2787500023841858,0.27537500858306885,1985,292.9158423,292.7536615,292.6549704,292.9249067,293.1868951,293.2124039
0.28212499618530273,0.2720000147819519,0.2681249976158142,0.30262500047683716,0.3083750009536743,0.3098750114440918,2053,294.5365234,294.2762462,294.0592515,294.4863823,294.8677774,295.1475531
0.31037500500679016,0.2996250092983246,0.2904999852180481,0.3243750035762787,0.3330000042915344,0.3356249928474426,2115,296.1152918,295.8413202,295.328778,295.7213676,296.2649667,296.5919024
0.34037500619888306,0.3264999985694885,0.3152500092983246,0.34687501192092896,0.3578749895095825,0.35887500643730164,2173,297.7918595,297.3639033,296.7330608,296.9989388,297.6763397,297.8960254
0.37174999713897705,0.35475000739097595,0.34174999594688416,0.37174999713897705,0.3853749930858612,0.38587498664855957,2235,299.5452694,298.964387,298.2366342,298.4113635,299.2366526,299.4104888
0.40062499046325684,0.3824999928474426,0.36524999141693115,0.3970000147819519,0.4103749990463257,0.41200000047683716,2296,301.1589654,300.5365423,299.5699921,299.8450828,300.6551191,300.8758742
0.4312500059604645,0.4086250066757202,0.39162498712539673,0.42250001430511475,0.4399999976158142,0.4361250102519989,2358,302.8704624,302.0166361,301.0664736,301.2929963,302.3360014,302.2290768
0.4621250033378601,0.43687498569488525,0.4137499928474426,0.4476250112056732,0.46812498569488525,0.46912500262260437,2417,304.5959298,303.6171181,302.3218164,302.7196169,303.9317751,304.0800885
0.4898749887943268,0.4651249945163727,0.43712499737739563,0.47062501311302185,0.4932500123977661,0.49437499046325684,2478,306.146754,305.2176019,303.6480825,304.0255782,305.357335,305.4963925
0.5184999704360962,0.49149999022483826,0.46312499046325684,0.4925000071525574,0.5182499885559082,0.5221250057220459,2537,307.746478,306.7118582,305.1232869,305.2676606,306.7757998,307.0529263
0.5462499856948853,0.5196250081062317,0.4873749911785126,0.515375018,0.5428749918937683,0.546999991,2597,309.2973039,308.3052607,306.4991991,306.5665249,308.1729891,308.448196
0.5776249766349792,0.543624997,0.5137500166893005,0.5426250100135803,0.5722500085830688,0.5755000114440918,2660,311.0507138,309.6649627,307.9956823,308.1138046,309.8396878,310.0467986
0.6098750233650208,0.5732499957084656,0.5400000214576721,0.5720000267028809,0.6036249995231628,0.6006249785423279,2724,312.8530266,311.3433455,309.485072,309.7817452,311.6198622,311.4560901
0.6388750076293945,0.6069999933242798,0.5665000081062317,0.5976250171661377,0.6324999928474426,0.6276249885559082,2786,314.4737078,313.2554271,310.9886453,311.2367558,313.2581902,312.9705551
0.6737499833106995,0.6340000033378601,0.5911250114440918,0.6230000257492065,0.6603749990463257,0.6571249961853027,2853,316.4227163,314.7850931,312.3858346,312.6775723,314.8397803,314.6252482
0.699874997,0.6633750200271606,0.6141250133514404,0.6466249823570251,0.6827499866485596,0.687125027,2913,317.8827281,316.4493134,313.6908235,314.0190191,316.1093068,316.3079883
0.7288749814033508,0.6867499947547913,0.6418750286102295,0.6704999804496765,0.7117499709129333,0.7077500224113464,2975,319.5034093,317.7736057,315.2653218,315.3746636,317.7547266,317.4648706
0.7601249814033508,0.7142500281333923,0.6663749814033508,0.6948750019073486,0.7486249804496765,0.7378749847412109,3036,321.2498339,319.3316001,316.6554159,316.7586998,319.8469646,319.1546182
0.7903749942779541,0.7433750033378601,0.6941249966621399,0.7236250042915344,0.7716249823570251,0.7682499885559082,3103,322.9403737,320.9816545,318.2299142,318.3911515,321.1519536,320.858391
0.8217499852180481,0.7724999785423279,0.7162500023841858,0.7506250143051147,0.7961249947547913,0.7988749742507935,3165,324.6937836,322.6317088,319.485257,319.924237,322.5420511,322.5761855
0.8523749709129333,0.8299999833106995,0.7630000114440918,0.7935000061988831,0.8446249961853027,0.8403750061988831,3227,326.4052789,325.8893299,322.1377892,322.3587187,325.2938754,324.9039753
0.9037500023841858,0.8497499823570251,0.7871249914169312,0.8153749704360962,0.8700000047683716,0.8696249723434448,3334,329.2764028,327.0082518,323.5066079,323.6007994,326.733619,326.5446433
0.9356250166893005,0.8774999976158142,0.8106250166893005,0.8387500047683716,0.8972499966621399,0.8934999704360962,3393,331.0577567,328.5804088,324.8399674,324.9280554,328.2797466,327.8838224
0.965624988,0.9043750166893005,0.8366249799728394,0.8646249771118164,0.9325000047683716,0.9225000143051147,3451,332.7343228,330.1029935,326.3151701,326.3972603,330.2797843,329.5104719
0.9916250109672546,0.9340000152587891,0.8628749847412109,0.8921250104904175,0.9497500061988831,0.956375003,3517,334.1873493,331.7813763,327.8045598,327.9587376,331.258526,331.4105633
1.0236250162124634,0.9633749723434448,0.8858749866485596,0.9179999828338623,0.9766250252723694,0.984624982,3579,335.9756885,333.4455932,329.1095488,329.4279424,332.7833782,332.9951407
1.0541249513626099,0.9900000095367432,0.9123749732971191,0.9427499771118164,1.0047500133514404,1.003000020980835,3640,337.6801953,334.9540154,330.6131221,330.8332699,334.3791519,334.0258201
1.0851249694824219,1.019624948501587,0.9363750219345093,0.9645000100135803,1.031999945640564,1.0338749885559082,3702,339.4126496,336.6323949,331.9748523,332.0682569,335.9252761,335.7576365
1.112375020980835,1.0460000038146973,0.9591249823570251,0.9860000014305115,1.056499958,1.0577499866485596,3762,340.9355347,338.1266545,333.2656542,333.2890463,337.3153736,337.0968156
