-0.005,0.017,9.81
-0.003,0.021,9.804
-0.018,0.015,9.819
-0.011,0.009,9.803
-0.015,0.019,9.802
-0.014,0.008,9.807
-0.02,0.008,9.804
-0.014,0.006,9.799
-0.01,0.01,9.808
-0.009,0.013,9.806
0.0,0.011,9.808
-0.008,0.013,9.803
-0.017,0.009,9.807
-0.006,0.007,9.809
-0.013,0.013,9.802
-0.011,0.007,9.811
-0.017,0.01,9.813
-0.018,0.013,9.801
-0.008,0.014,9.811
-0.004,0.01,9.81
-0.003,0.012,9.812
-0.004,0.023,9.806
-0.004,0.016,9.805
-0.017,0.016,9.796
-0.008,0.012,9.797
-0.012,0.019,9.8
-0.012,0.011,9.813
-0.007,0.007,9.809
-0.012,0.012,9.805
-0.015,0.009,9.802
-0.015,0.011,9.806
-0.008,0.011,9.792
-0.012,0.005,9.809
-0.011,0.006,9.809
-0.007,0.017,9.807
-0.014,0.005,9.806
-0.013,0.012,9.805
-0.019,0.012,9.813
-0.006,0.014,9.807
-0.005,0.01,9.809
-0.012,0.022,9.808
-0.011,0.011,9.802
-0.01,0.016,9.805
-0.024,0.012,9.804
-0.012,0.014,9.802
-0.014,0.017,9.815
-0.012,0.01,9.808
-0.007,0.014,9.807
-0.016,0.017,9.796
-0.013,0.009,9.813
-0.016,0.014,9.814
-0.014,0.011,9.809
-0.021,0.009,9.806
-0.013,0.007,9.794
-0.013,0.012,9.807
-0.006,0.018,9.81
-0.008,0.014,9.815
-0.011,0.016,9.805
-0.015,0.02,9.809
-0.011,0.016,9.807
-0.017,0.015,9.806
-0.017,0.022,9.8
-0.012,0.011,9.803
-0.016,0.015,9.804
-0.016,0.01,9.8
-0.01,0.02,9.812
-0.009,0.012,9.801
-0.015,0.008,9.804
-0.011,0.007,9.806
-0.02,0.015,9.801
-0.017,0.019,9.817
-0.015,0.017,9.809
-0.015,0.005,9.811
-0.017,0.01,9.812
-0.013,0.014,9.807
-0.01,0.012,9.81
-0.02,0.016,9.807
-0.015,0.014,9.804
-0.012,0.019,9.808
-0.015,0.004,9.802
-0.01,0.018,9.807
-0.032,0.004,9.795
-0.027,-0.014,9.791
-0.033,-0.0,9.797
-0.041,0.006,9.79
-0.031,0.003,9.786
-0.042,-0.011,9.789
-0.037,-0.006,9.793
-0.035,-0.008,9.797
-0.039,-0.002,9.794
-0.039,-0.007,9.795
-0.038,-0.002,9.789
-0.036,-0.009,9.795
-0.041,-0.006,9.796
-0.034,0.002,9.787
-0.037,-0.013,9.8
-0.028,-0.008,9.803
-0.036,-0.007,9.787
-0.025,-0.005,9.796
-0.042,-0.006,9.791
-0.034,-0.004,9.797
-0.033,-0.006,9.794
-0.043,0.006,9.787
-0.028,-0.011,9.79
-0.038,-0.002,9.789
-0.031,-0.01,9.791
-0.041,-0.009,9.783
-0.031,0.002,9.79
-0.039,-0.008,9.792
-0.031,0.004,9.798
-0.036,0.006,9.8
-0.032,-0.008,9.789
-0.041,-0.007,9.804
-0.03,-0.007,9.794
-0.036,0.004,9.799
-0.042,-0.002,9.795
-0.03,-0.01,9.79
-0.038,-0.008,9.804
-0.028,-0.006,9.801
-0.036,-0.007,9.801
-0.044,-0.004,9.792
-0.042,0.002,9.798
-0.034,-0.011,9.799
-0.035,-0.01,9.792
-0.037,-0.002,9.79
-0.035,-0.004,9.797
-0.038,-0.007,9.801
-0.033,-0.005,9.791
-0.037,-0.005,9.798
-0.041,-0.01,9.79
-0.031,-0.006,9.802
-0.044,-0.001,9.797
-0.035,-0.007,9.797
-0.029,-0.005,9.792
-0.028,-0.017,9.79
-0.041,0.002,9.799
-0.034,0.004,9.802
-0.028,-0.003,9.79
-0.037,-0.008,9.788
-0.035,-0.004,9.792
-0.041,-0.007,9.785
-0.04,-0.001,9.793
-0.028,-0.009,9.785
-0.043,0.002,9.789
-0.034,0.004,9.806
-0.035,-0.006,9.792
-0.038,-0.013,9.796
-0.032,0.002,9.8
-0.032,0.006,9.794
-0.037,-0.004,9.793
-0.037,0.001,9.789
-0.031,-0.001,9.797
-0.03,-0.004,9.798
-0.036,-0.003,9.796
-0.036,-0.003,9.794
-0.028,-0.008,9.802
-0.04,0.005,9.792
-0.035,-0.006,9.798
-0.041,-0.007,9.785
-0.037,-0.003,9.797
-0.034,-0.003,9.796
-0.041,-0.0,9.787
-0.04,-0.004,9.797
-0.045,-0.002,9.793
-0.039,-0.006,9.791
-0.037,-0.007,9.791
-0.042,-0.006,9.801
-0.033,-0.0,9.793
-0.02,-0.005,9.789
-0.032,0.004,9.788
-0.034,-0.013,9.794
-0.031,-0.017,9.793
-0.031,-0.004,9.799
-0.034,-0.002,9.791
-0.033,-0.002,9.794
-0.034,-0.001,9.793
-0.023,-0.006,9.796
-0.035,-0.004,9.802
-0.036,0.0,9.789
-0.036,0.0,9.792
-0.032,0.001,9.795
-0.033,-0.001,9.785
-0.041,-0.007,9.789
-0.036,0.004,9.793
-0.044,-0.009,9.798
-0.034,-0.009,9.787
-0.033,-0.004,9.801
-0.035,-0.003,9.791
-0.04,-0.006,9.796
-0.039,-0.005,9.79
-0.033,0.003,9.788
-0.035,-0.002,9.794
-0.031,-0.002,9.791
-0.038,-0.001,9.795
-0.035,-0.007,9.797
-0.034,-0.004,9.795
-0.033,-0.003,9.809
-0.047,-0.008,9.788
-0.04,0.006,9.796
-0.032,-0.007,9.8
-0.03,-0.007,9.791
-0.044,-0.006,9.79
-0.037,-0.006,9.793
-0.043,-0.01,9.795
-0.034,-0.006,9.797
-0.031,-0.007,9.793
-0.035,-0.004,9.796
-0.035,-0.005,9.795
-0.032,0.0,9.791
-0.033,-0.012,9.792
-0.033,-0.01,9.793
-0.033,-0.004,9.795
-0.036,0.0,9.791
-0.046,-0.001,9.792
-0.045,0.004,9.803
-0.027,-0.002,9.786
-0.031,-0.01,9.796
-0.037,-0.003,9.789
-0.041,0.001,9.798
-0.038,-0.004,9.8
-0.031,0.005,9.793
-0.029,0.009,9.794
-0.032,-0.005,9.795
-0.032,-0.003,9.798
-0.04,0.0,9.789
-0.032,0.001,9.792
-0.036,0.0,9.796
-0.04,-0.0,9.798
-0.036,0.001,9.795
-0.039,-0.004,9.796
-0.035,-0.002,9.796
-0.024,-0.007,9.794
-0.028,-0.005,9.792
-0.041,-0.006,9.792
-0.033,0.001,9.788
-0.021,-0.015,9.788
-0.033,-0.003,9.794
-0.021,-0.005,9.792
-0.038,-0.01,9.792
-0.03,-0.011,9.796
-0.03,-0.005,9.791
-0.04,0.001,9.798
-0.029,-0.012,9.792
-0.041,-0.004,9.797
-0.032,-0.004,9.78
-0.04,-0.009,9.795
-0.046,-0.002,9.792
-0.028,-0.006,9.796
-0.032,-0.007,9.793
-0.032,-0.003,9.787
-0.033,-0.006,9.787
-0.036,0.004,9.799
-0.032,-0.014,9.788
-0.037,-0.008,9.795
-0.035,-0.008,9.796
-0.044,-0.0,9.797
-0.044,0.011,9.793
-0.035,-0.004,9.786
-0.042,0.001,9.799
-0.039,-0.011,9.793
-0.036,-0.008,9.789
-0.041,0.003,9.793
-0.039,-0.004,9.794
-0.034,-0.006,9.79
-0.039,0.0,9.793
-0.039,0.003,9.807
-0.038,-0.006,9.799
-0.036,-0.005,9.799
-0.038,-0.001,9.799
-0.044,-0.006,9.791
-0.034,-0.001,9.797
-0.036,0.002,9.796
-0.033,-0.013,9.79
-0.04,-0.009,9.793
-0.024,-0.008,9.805
-0.039,0.005,9.794
-0.032,-0.002,9.798
-0.039,-0.006,9.794
-0.032,-0.008,9.783
-0.036,-0.001,9.792
-0.042,-0.0,9.802
-0.045,-0.006,9.789
-0.037,0.002,9.798
-0.027,-0.006,9.795
-0.033,-0.01,9.802
-0.039,-0.005,9.789
-0.031,-0.008,9.8
-0.032,0.001,9.797
-0.05,-0.004,9.791
-0.037,-0.002,9.798
-0.031,-0.008,9.798
-0.029,0.003,9.794
-0.038,-0.001,9.795
-0.037,-0.003,9.79
-0.045,-0.004,9.799
-0.031,-0.007,9.795
-0.044,-0.006,9.797
-0.034,-0.0,9.792
-0.032,-0.004,9.791
-0.035,-0.003,9.795
-0.039,-0.003,9.8
-0.042,0.007,9.795
-0.043,-0.003,9.802
-0.028,-0.002,9.794
-0.032,-0.002,9.797
-0.044,-0.002,9.782
-0.028,-0.006,9.793
-0.042,-0.004,9.788
-0.043,-0.012,9.787
-0.035,-0.0,9.786
-0.025,-0.012,9.8
-0.032,0.008,9.792
-0.036,0.001,9.786
-0.029,-0.012,9.794
-0.034,-0.012,9.793
-0.038,-0.0,9.797
-0.045,-0.016,9.788
-0.044,-0.005,9.783
-0.026,-0.007,9.804
-0.038,-0.008,9.793
-0.034,-0.007,9.793
-0.036,-0.003,9.803
-0.031,-0.003,9.785
-0.032,0.006,9.787
-0.029,-0.014,9.789
-0.032,-0.002,9.787
-0.03,-0.001,9.796
-0.041,-0.007,9.792
-0.036,-0.01,9.793
-0.035,-0.009,9.797
-0.04,0.003,9.789
-0.038,-0.003,9.795
-0.033,0.004,9.797
-0.03,-0.004,9.799
-0.039,0.005,9.788
-0.033,-0.007,9.786
-0.03,0.008,9.797
-0.032,-0.004,9.798
-0.031,-0.004,9.798
-0.037,-0.009,9.794
-0.03,0.001,9.789
-0.033,-0.004,9.789
-0.04,-0.008,9.78
-0.035,-0.007,9.799
-0.043,-0.007,9.792
-0.046,-0.003,9.796
-0.036,0.005,9.786
-0.034,-0.008,9.788
-0.031,-0.005,9.795
-0.043,-0.003,9.797
-0.038,-0.001,9.783
-0.029,0.003,9.793
-0.03,-0.009,9.791
-0.032,-0.004,9.801
-0.038,-0.007,9.782
-0.039,0.003,9.802
-0.037,-0.001,9.792
-0.037,-0.007,9.793
-0.029,-0.003,9.795
-0.032,-0.005,9.793
-0.034,-0.002,9.8
-0.03,-0.004,9.797
-0.039,-0.006,9.794
-0.034,-0.0,9.799
-0.035,-0.005,9.803
-0.034,-0.009,9.797
-0.04,-0.0,9.794
-0.03,-0.001,9.791
-0.031,0.0,9.797
-0.03,-0.002,9.792
-0.036,0.002,9.797
-0.033,-0.002,9.787
-0.034,-0.003,9.793
-0.042,0.002,9.791
-0.031,-0.002,9.792
-0.041,-0.004,9.795
-0.035,-0.001,9.796
-0.029,-0.002,9.805
-0.038,0.003,9.796
-0.027,-0.011,9.789
-0.042,-0.008,9.794
-0.031,0.0,9.789
-0.035,-0.007,9.797
-0.041,0.004,9.801
-0.036,0.001,9.803
-0.034,-0.001,9.78
-0.042,-0.009,9.798
-0.038,-0.003,9.796
-0.033,0.003,9.797
-0.03,-0.006,9.799
-0.042,0.001,9.79
-0.034,-0.006,9.79
-0.042,-0.005,9.79
-0.041,-0.004,9.793
-0.031,-0.005,9.801
-0.032,-0.004,9.788
-0.041,-0.001,9.796
-0.021,-0.006,9.788
-0.037,-0.003,9.805
-0.032,0.007,9.792
-0.031,-0.004,9.789
-0.036,-0.002,9.794
-0.034,-0.007,9.794
-0.032,-0.012,9.796
-0.029,-0.003,9.79
-0.043,0.001,9.804
-0.032,-0.005,9.796
-0.03,0.008,9.798
-0.038,-0.003,9.79
-0.032,-0.006,9.789
-0.033,-0.008,9.794
-0.038,0.005,9.791
